	"crim2"=>	"Также к преступлению приравнивается любая помощь преступнику: лечение и т.д. А вот по отношению к преступникам эти правила не распространяются! То есть, на преступника можно нападать в любой момент, также можно безнаказанно забирать предметы с его трупа и т.д. Учти только, что стража есть лишь в пределах города, а за городскими стенами каждый предоставлен лишь самому себе. Впрочем, через какое-то время все забывается и даже преступники перестают быть таковыми и могут заходить в город. Так что если ты стал преступником, просто отсидись где-нибудь в лесах.|Дальше|die|А что насчет...|list|Ясно, пока|end",
	"die"=>	"В случае смерти все предметы, что ты нес с собой, остаются на трупе, а сам ты становишься призраком. Ты можешь свободно ходить, но тебя почти никто не будет видеть, ты не сможешь использовать магию или предметы. А если попытаешься что-нибудь сказать, то все, за исключением имеющих навык спиритизма, услышат вместо слов лишь потустороннее завывание... Ну а чтобы не терять важные предметы, храни их в банке.|Дальше|bank|А что насчет...|list|Ясно, пока|end",
	"bank"=>	"Предметы в банке храняться сколько угодно времени, забрать их оттуда можешь только ты. Чтобы положить предмет в свой банк или забрать что-нибудь из банка, просто поговори с банкиром. В банке можно хранить любые предметы и неограниченное число.|Дальше|skills|А что насчет...|list|Ясно, пока|end",
	"skills"=>	"Свои параметры ты можешь посмотреть, выбрав 'Навыки' в основном меню. Главные из них - сила, ловкость и интеллект. Они учитываются почти во всех твоих действиях. Все остальные навыки тоже важны, но они учитываются только в специфических ситуациях, например, навык 'Воровство' определяет твои шансы что-нибудь утащить у соседа и так далее.|Дальше|skills2|А что насчет...|list|Ясно, пока|end",
	"skills2"=>	"Все навыки изменяются в пределах 0..5, чем больше, тем лучше. Только учти, что есть предел для суммы очков всех навыков, так что стать профессионалом во всех областях сразу тебе не удастся. Теперь о том, как улучшать свои навыки. За победу над врагом ты получаешь опыт, причем чем сильнее враг (неважно, зверь или человек), тем больше за него получишь опыта.|Дальше|skills3|А что насчет...|list|Ясно, пока|end",
	"skills3"=>	"Когда твой опыт достигнет определенного предела, ты получаешь новый уровень и вместе с ним одно очко опыта, которое можешь потратить на увеличение любого навыка. Для этого тебе надо найти наставника, который согласится обучить тебя выбранному ремеслу, например, рукопашному бою. Просто разговаривай со всеми и спрашивай, не могут ли они тебя чему-нибудь научить. Обычно это происходит за деньги, хотя иногда могут попросить что-то для них сделать, все зависит от наставника.|Дальше|skills4|А что насчет...|list|Ясно, пока|end",
	"skills4"=>	"Многие могут научить тебя чему-нибудь, некоторые это делают дешевле или дороже, некоторые учат только до определенного уровня, а некоторые, наоборот, только если ты уже достиг необходимого уровня... Но есть один нюанс - с каждым новым уровнем получить следующий будет все труднее и труднее, поэтому желательно сразу развивать те навыки, которые тебе больше нравятся. Впрочем, даже при максимальном уровне можно развивать навыки, просто взамен поднятия одного, тебя попросят опустить какой-нибудь другой. Так что даже из эксперта мага можно со временем переквалифицироваться в воина. И наоборот.|Дальше|skills5|А что насчет...|list|Ясно, пока|end",
	"skills5"=>	"Вообще, большинство боевых навыков развивают во дворе рыцарей, а магических - в Академии, так что сходи в эти места и поговори с кем-нибудь там. Хотя учителя встречаются и в других местах, даже за пределами города.|Дальше|magic|А что насчет...|list|Ясно, пока|end",
	"magic"=>	"Чтобы узнать подробней о магии, сходи в Академию, там тебе все расскажут, я же лишь покажу, как ей пользоваться. Твои способности к волшебству определяются навыком 'Магия', чем он больше, тем лучше. Некоторые заклинания даются легче, некоторые труднее. Для использования особо мощных ты должен быть магом уровня не ниже тертьего или даже четвертого. Для использвания магии есть три пути: из своей книги заклинаний, в таком случае тратится мана и магические реагенты, со свитков - тогда тратится только мана и исчезает свиток или с руны, тогда тратится только мана.|Дальше|magic2|А что насчет...|list|Ясно, пока|end",
	"magic2"=>	"Очевидно, что удобней всего пользоваться рунами, т.к. нет необходимости покупать дорогие реагенты, то в случае твоей гибели, руна останется лежать на трупе, ее могут похитить разбойники. Или она может просто пропасть, так как со временем трупы исчезают. Есть очень полезные заклинания 'Пометить' и 'Возвращение', позволяющие тебе телепортироватьтся в любое место! А еще есть 'Воскрешение', позволяющее оживлять погибших товарищей в бою. Сходи в Академию, там все узнаешь.|Дальше|fight|А что насчет...|list|Ясно, пока|end",
	"fight"=>	"Чтобы узнать все о сражениях, сходи в двор рыцарей. Атаковать можно врукопашную или с помощью оружия (или магией). Правда в городе лучше ни на кого, кроме преступников, не нападать, иначе сам станешь преступником. При использовании практически любого вида оружия учитывается твоя сила и ловкость. Так, более сильный лучник сильнее натянет тетиву и соответственно, нанесет больший урон. Так же как и более сильный удар мечом причинит больше вреда.|Дальше|fight2|А что насчет...|list|Ясно, пока|end",
	"fight2"=>	"Впрочем, в некоторых видах оружия сила не учитывается, например, при стрельбе из самстрелов. Ловкость же определяет твою меткость и скорость нанесения ударов. Кроме того, для каждого вида оружия есть свой навык, от которого зависит, насколько ты профессионально обращаешься с этим оружием. Если у тебя в руках щит, то некоторые удары ты можешь отбить им (зависит от навыка 'Парирование'). Еще один момент: броня защищает от обычного оружия, а от магии нет! Для защиты от магии есть специальные навыки.|Дальше|trade|А что насчет...|list|Ясно, пока|end",
	"trade"=>	"Для того, чтобы купить или продать любой предмет, просто поговори с торговцем. У разных продавцов цены разные, кроме того, некоторые из них принимают только определенные виды товаров. И еще: ассортимент время от времени обновляется - могут появиться новые товары и т.д., все зависит от продавца.|Дальше|job|А что насчет...|list|Ясно, пока|end",
	"job"=>	"Фактически, есть 5 способов заработать денег: самый простой - просто пойти за пределы города и собирать все что найдешь - грибы, магические реагенты и т.д. В первое время чтобы не погибнуть можешь просто услышав подозрительыне звуки, бежать со всех ног в сторону города. Второй способ: стать охотником, освещевывать туши убитых зверей и продавать шкуры, клыки, когти и т.д., поговори об этом с охотниками у северных ворот. Третий - идти на кладбище или искать монстров в лесах, у монстров попадаются монеты прямо на трупах.|Дальше|job2|А что насчет...|list|Ясно, пока|end",
	"job2"=>	"Четвертый, не совсем честный, я бы даже сказал совсем нечестный способ  -воровать деньги и предметы у других игроков. Можно еще стать разбойником и нападать на прохожих за пределами городских стен. Путь в город, как ты понимаешь, в таком случае тебе будет закрыт, пока люди не забудут, что ты был бандитом. Можно еще самому делать предметы на продажу, но с этим пока не все ясно...|Дальше|tame|А что насчет...|list|Ясно, пока|end",
	"tame"=>	"Чтобы узнать о приручении животных, найди кого-нибудь, кто этим занимается и расспроси его. Я бы посоветовал поговорить с охотниками у северных ворот, они должны знать. Сейчас лишь скажу, что некоторых животных можно приручить. В случае успеха, они будут ходить за тобой по пятам и защищать тебя. Еще они будут выполнять твои команды, можешь их натравить на кого-нибудь или сказать охранять того-то... Прирученные могут со временем уйти от вас, поэтмоу обращайтесь с ними ласково и тогда они привяжутся к вам надолго.|Дальше|contact|А что насчет...|list|Ясно, пока|end",
	"contact"=>	"В контактах (команда в главном меню) ты можешь оправлять и получать письма от друзей, где бы они не находились. При этом еще показывается, кто из твоих друзей играет в данный момент вместе с тобой. А даже если и нет, можешь им отправить письмо и они получат его, как только войдут в игру. Если тебе что-нибудь говорит слово ICQ, то ты уже понимаешь, о чем речь :-). Да, кстати, если придет новое сообщение, об этом будет написано в главном экране игры, так что не надо постоянно проверять контакты.|Дальше|macros|А что насчет...|list|Ясно, пока|end",
	"macros"=>	"Еще ты можешь создавать свои макросы, например: повторить последнее действие, атаковать последнюю цель, использовать заклинание 'Лечение' на себя и т.д. Все макросы доступны из главного меню (в большинстве телефонов для этого достаточно нажать горячую кнопку). Поздравляю, на этом твое начальное обучение закончено, ты готов вступить в этот чудесный, волшебный мир. Об остальном узнаешь в своих приключениях, удачи тебе!|У, а я только приготовился слушать...|begin|А что насчет...|list|Спасибо, еще увидимся!|end",
	"end"=>	"Хорошо, я всегда буду здесь, если что-то понадобится, приходи в любое время.",
),
"npc.Gant"=>array(
	"begin"=>	"Здравствуй, незнакомец. Это двор рыцарей, могу я чем-нибудь тебе помочь?|Что за двор рыцарей?|what|Я хочу пройти|go",
	"what"=>	"Здесь живут палладины его Величества во главе с Лордом Хагеном, он находится в здании прямо через двор.|И чем вы тут занимаетесь?|do|Я хочу пройти|go",
	"do"=>	"Мы здесь по приказу короля, прибыли с миссией защиты города от возможного вторжения орков. А пока что, на временной дислокации, тренируем новобранцев и обеспечиваем порядок в городе.|Первый раз слышу о каком-то вторжении|vtorj|Я хочу пройти|go",
	"vtorj"=>	"Поговори об этом лучше с Лордом Хагеном или его помощником, Рено, они тебе все объяснят. Или с главой города Сильвестро, он в доме в северной части двора|Ок, счастливо|go",
	"go"=>	"Постой, это конечно, не мое дело, но все-таки, ты случайно не из Академии?|Да, я из Академии, а что?|ak|Нет|no",
	"ak"=>	"Я так и подумал. Знаешь, ты не очень похож на этих умников в рясах, я бы даже сказал, ты выглядишь вполне благоразумным человеком. Поэтому хочу дать тебе совет - держись подальше от всей этой братии.|Что-то не так с Академией?|ak2|Я сам знаю что мне делать и как|end",
	"ak2"=>	"Никогда не стоит доверять магам. Это самонадеянные, заносчивые, считающие себя выше других. Эти магики себе на уме, лучше с ними не связываться. Хороший клинок, да добрый щит - вот что нужно настоящему мужчине, а не декларировать фразы нараспев, размахивая руками. Ты меня понимаешь?|Понимаю, полностью с тобой согласен!|ak3|Хорошо, учту твое мнение|end",
	"ak3"=>	"Вот и славно! Приятно осознавать, что не дал человеку встать на зыбкий путь. Держить рыцарей и будешь всегда уверен - спина у тебя надежно прикрыта.|Счастливо, удачи|end",
	"no"=>	"И правильно, нечего соваться к этим книгочеям. Так же как и водиться с охотниками. Скажу тебе по секрету, большинство из них бывшие каторжники или наемники. Если ты предпочитаешь честную сталь, двор рыцарей к твоим услугам!|Да здравствует двор рыцарей!|ura|Ладно-ладно, я понял|end",
	"ura"=>	"Ну-ну, не так пылко :-). Я вижу, в нашем полку прибыло и у нас скоро будет новый ноборанец? Поговори с Лордом Хагеном, в потом к Катаресу, он сделает из тебя настоящего мужчину!|Так и сделаем, спсибо за совет|end|Я и так настоящий мужчина|man",
	"man"=>	"Ха! Вот нападут орки, тогда и посмотрим, кто чего стоит. Не обижайся, я ведь тебя не не знаю, может ты мастер меча, просто виду тебя не ахти, ну да ничего, это дело поправимое, верно?|Верно, я пойду|end",
	"end"=>	"Ну бывай, еще свидимся",
),
"npc.LordHagen"=>array(
	"begin"=>	"Как твое имя, незнакомец?|Меня зовут <name>|name|Мое имя Ричард|wr|Гм... Мое имя тебе ничего не скажет, давай лучше сразу перейдем к делу.|vopr",
	"name"=>	"Ну что ж, честность красит человека, я думаю мы поладим.|Я тоже так думаю|vopr",
	"wr"=>	"Ты в этом уверен? Учти, что лжецам или жуликам не место во дворе рыцарей! Впрочем, ладно, время покажет кто ты такой.|Конечно, уверен, так же как и в том, что у меня на одной руке шесть пальцев!|pal|Я учту это...|vopr",
	"pal"=>	"[издевательски] Твое остроумие меня просто поразило до глубины души. Давай не будем тратить время попусту, зачем ты пришел?|Хорошо, для начала - кто вы?|vopr",
	"vopr"=>	"Я Лорд Хаген, в данное время я являюсь командиром отряда палладинов в этом городе.|Зачем вы приехали в город?|why|Я хочу стать рыцарем|rene|А магии у вас научиться можно?|mag|Мне пора|end",
	"why"=>	"На город может быть совершено массированное нападение орков, чьи полчища собираются на севере и западе. Это достаточная причина? Больше ничего по этому поводу тебе сказать не могу.|Гм...|vopr",
	"rene"=>	"Всеми делами, связанными с обучением и новобранцами, заведует мой помощник Рене, вот он стоит рядом, поговори с ним.|Ладно|end|У меня есть еще вопросы|vopr",
	"mag"=>	"Да, можно. Наша магия очень сильна, так как мы на службе добра и справедливости, поэтому высшие силы помогают нам. Стоунс в северном здании расскажет тебе подробности. Я же могу научить тебя заклинанию 'Гнев богов'.|Я хочу выучить это заклинание|gnev|И сколько это будет стоить?|cost|В другой раз|vopr",
	"cost"=>	"[широко улыбается] Нисколько, это заклинание относится к тем, которые можно доверять любому.|В смысле?|gnev2|Звучит подозрительно, я передумал|vopr",
	"gnev2"=>	"Видишь ли, это очень мощное боевое заклинание, но оно действует только на преступников. Так ты хочешь его выучить?|Да, я согласен|gnev|Хм... это не по мне|vopr",
	"gnev"=>	"magic|magic.all.godanger|0|4",
	"end"=>	"Хорошо, береги себя",
),
"npc.Rene"=>array(
	"begin"=>	"Я Рене, помощник Лорда Хагена. Что ты хочешь узнать?|Где я могу потренироваться?|tren|Я хочу изучить магию|mag|Где мне найти главу города?|gl|Ничего, мне пора|end",
	"tren"=>	"Иди к ристалищу, там Кантарес тренирует новобранцев. И там же есть где пострелять из лука, если тебя это интересует, спроси про Ханса.|У меня есть другие вопросы|begin|Хорошо, пока|end",
	"mag"=>	"Поговори со Стоунсом в северном здании, у него же ты можешь купить магические товары.|У меня есть другие вопросы|begin|Хорошо, пока|end",
	"gl"=>	"Сильвестра? Он тоже в северном здании вместе со Стоунсом.|У меня есть другие вопросы|begin|Хорошо, пока|end",
	"end"=>	"Пока",
),
"npc.Silvestr"=>array(
	"begin"=>	"Что тебе надо, я занят|Вы глава этого города?|gl|Да собственно, ничего|end",
	"gl"=>	"Я, но что толку? С тех пор как появились палладины, я тут вообще ничего не решаю, всем заведует Лорд Хаген!|Зачем палладины в городе?|why",
	"why"=>	"А я знаю? Приказ короля и все тут. Для защиты от орков, так было сказано. Только вот я и на своих солдат не жаловался, а теперь где они? В южной части города, в каких-то трущобах! Лучше оставь меня в покое, и так не до тебя :-(|Ладно, не буду мешать|end",
	"end"=>	"[отвернулся и занялся своими делами]",
),
"npc.Stouns"=>array(
	"begin"=>	"Привет, <name>, как дела?|Нормально, ты можешь научить меня магии?|mag|Я хотел бы кое-что купить|buy|Я хочу продать...|sell|Ты покупаешь товары?|sellinfo|А кто еще учит магии?|more|Могло бы быть и лучше, мне пора|end",
	"more"=>	"У меня только палладинские заклинания, как ты мог уже заметить. Все остальное практикуют в Академии. Ну и еще Лорд Хаген может научить тебя очень мощному заклинаию 'Гнев Богов', но он учит далеко не всех, впрочем, поговори с ним сам.|Ясно|begin",
	"sellinfo"=>"Нет, у нас во дворе рыцарей и так все есть, я только продаю магические принадлежности, ну и обучаю некоторым заклинаниям.|Ясно|begin",
	"mag"=>	"Я могу научить тебя заклинаниям 'Лечение' и 'Святая стрела', что ты хочешь узнать?|Лечение|heal|Святая стрела|arrow|Я лучше пойду|end",
	"heal"=>	"Это очень полезное заклинание, оно восстанавливает твою жизнь, если ты ранен. Обучение обойдется в 300 монет.|Согласен, вот деньги|healnow|Ого! Да за такую сумму я скорей съем свой язык!|mag|Я лучше пойду|end",
	"arrow"=>	"Заклинание 'Святая стрела' действует только на злых существ, но зато наносит довольно сильный урон, а маны требует совсем немного. Обучение стоит 200 монет.|Согласен, вот деньги|arrownow|Хм... для меня дороговато пока...|mag|Я лучше пойду|end",
	"healnow"=>	"magic|magic.heal|300",
	"arrownow"=>"magic|magic.war.holyarrow|200",
	"end"=>	"Счастливо, да хранят тебя боги!",
),
"npc.KantaresNovobranec"=>array(
	"begin"=>	"[вытирает пот со лба] Уфф, этот Кантарес сущий дьявол, но как учитель по холодному оружию, ему нет равных!",
),
"npc.Kantares"=>array(
	"begin"=>	"Здравствуй, <name>, решил немного размяться?|Говорят, ты тренируешь бойцов?|tren|На самом деле я просто шел мимо|end",
	"tren"=>	"Верно говорят, я инструктор по холодному оружию.|Как мне стать сильнее?|str|Я хочу научиться драться!|draka|Поздравляю! Это все что я хотел сказать|end",
	"str"=>	"Нет проблем, это идеальное место для тренировки. Не бесплатно, конечно, тебе это обойдется в 150 монет.|Ок, я хочу увеличить свою силу.|strnow|Я передумал|tren",
	"strnow"=>	"skill|str|150",
	"draka"=>	"Я могу научить тебя обращаться с мечом, уклоняться от ударов и правильно использовать щит.|Научи меня обращению с холодным оружием|cold|Научи меня уклоняться|uklon|Научи меня обращению со щитом|parr|А драться врукопашную?|hand|Что насчет стрельбы из лука?|luk|Я передумал|tren",
	"cold"=>	"Меч - это главное оружие рыцаря. Быстрый и смертоносный клинок, вот чем палладин отстаивает свою честь или честь невиновных! Здесь надо помнить всего две вещи: первое: чем ты сильнее, тем страшнее твой удар, и второе: надо уметь собственно правильно держать меч в руках и знать приемы. Кроме того, помни, что если ты слаб, а оружие тяжелое, то тебе будет сложней с ним обращаться. Всего за 200 монет я покажу тебе как владеть мечом.|Я согласен|coldnow|Лучше научи как увеличить силу|str|А как насчет стрельбы из лука?|luk|Гм.. а как насчет других навыков|tren",
	"coldnow"=>	"skill|coldweapon|200",
	"hand"=>	"Ха! Не дело это рыцаря кулаками махать. если хочешь, иди к этим недотепам - солдатам, они любят устраивать кулачные забавы. Простолюдины, что с них взять.|Где мне найти солдат?|hand2",
	"hand2"=>	"Иди к южным воротам, в около них поверни на запад и выйдешь к казармам. Впрочем, можешь обойти наш двор с задней стороны, так даже ближе.|Понятно|tren",
	"luk"=>	"Видишь вон в том углу ристалища Ханса? Он владеет стрелковым оружием.|Ясно|tren",
	"uklon"=>	"Если тебе удалось увернуться от удара, то считай что тебе повезло. За 200 монет я могу сделать так, чтобы тебе 'везло' почаще. Хотя от магии просто так не увернешься, но в обычном бою это очень полезное умение.|Я согласен|uklonnow|Гм.. а как насчет других навыков|tren",
	"uklonnow"=>"skill|uklon|200",
	"parr"=>	"Настоящий воин должен уметь обращаться со щитом. Если ты умеешь им владеть, то урон уменьшается на броню щита, так что чем крепче щит, тем лучше. Но даже самый лучший щит в твоих руках, елси ты не умеешь им правильно закрываться, окажется бесполезным грузом, стесняющим движения. Если хочешь, я научу тебя владешь щитом за 200 монет.|Я согласен|parrnow|Гм.. а как насчет других навыков|tren",
	"parrnow"=>	"skill|parring|200",
	"end"=>	"Бывай",
),
"npc.Hans"=>array(
	"begin"=>	"Я Ханс, тренер по стрелковому оружию.|Чему ты можешь меня научить?|tren|Что-то у тебя не видно учеников...|uch|Где мне купить стрел?|buyinfo|Мне пора|end",
	"buyinfo"=>	"Сходи в торговый квартал на юге города. Или поспрашивай у охотников, они обычно крутятся около северных ворот.|Ясно|begin",
	"uch"=>	"Это верно, среди рыцарей стрелковое опужие не очень-то в почете. Это, по их мнению, противоречит понятиям чести. Да и где это видано, чтобы палладин, к примеру, кидался камнями?|Тогда почему ты здесь?|uch2|Ладно, забудем об этом|begin",
	"uch2"=>	"А кто сказал, что лук со стрелами бесполезен? Во многих случаях он даже эффективней. Здесь мне хорошо платят, я могу учить людей, а какая разница где это делать? Сюда часто приходят местные охотники, им умение стрелять нужно как воздух.|Научи тогда и меня!|tren|Верно говоришь|begin|Пожалуй, я предпочитаю сталь клинка, извини|end",
	"tren"=>	"Я могу научить тебя стрелять, быть проворней, а также быть осторожней.|Я хочу повысить ловкость|dex|Я хочу научиться стрелять|luk|Осторожней?|look|А как насчет мечей?|sword|Мне пора|end",
	"sword"=>	"Для этого сходи к Кантаресу. Иди на звон мечей, не ошибешься.|Понятно|tren",
	"dex"=>	"Ловкость определяет твою меткость и скорость стрельбы. Для лучника это очень важный параметр. Я могу помочь тебе развить ловкость за 150 монет.|Я согласен|dexnow|Я передумал|tren",
	"dexnow"=>	"skill|dex|150",
	"luk"=>	"Ну что ж, во-впервых, для стрельбы из лука или метания нужна сила, т.к. от нее зависит наносимый урон. Кроме арбалетов, конечно. Во-вторых, нужна хорошая ловкость, чтобы попадать в цель. Учти, что попасть из лука намного сложней, чем мечом или кулаком! И в-третьих, надо уметь обращаться со стрелковым оружием. За 200 монет я могу научить тебя стрелять лучше.|Научи, вот деньги|luknow|Лучше научи как увеличить ловкость|dex|Гм.. а как насчет других навыков|tren",
	"luknow"=>	"skill|ranged|200",
